
This is mm_MPC, an interior point solver for nonlinear programming generated by FORCES PRO v3.0.1.
Problem size: 400 variables, 210 equality and 1320 constraints in 20 stage(s)
(c) embotech AG, Zurich, Switzerland, 2013-2020. All rights reserved. Email: info@embotech.com

  It.   objective   res_stat   res_eq   res_ineq   rsnorm   rcompnorm     barrier    step_p  step_d  lsit  dw       dc     skips
   18  +2.1893e+03  2.01e+03  1.32e-02  2.12e+00  2.01e+03  1.68e+02    5.4e+01 (A)  1.0000  0.3995   1  3.6e-06  3.6e-06    0
   19  +2.3151e+03  1.88e+03  4.44e-03  7.16e-01  1.88e+03  7.18e+01    5.0e+01 (A)  1.0000  0.9665   1  1.2e-06  1.2e-06    0
   20  +1.5014e+03  1.34e+03  8.47e-03  6.74e-02  1.34e+03  2.41e+01    1.4e+01 (A)  1.0000  1.0000   1  4.8e-07  4.8e-07    0
   21  +1.2303e+03  1.48e+03  5.95e-03  1.49e-01  1.48e+03  1.01e+01    9.1e-03 (A)  0.9920  0.5964   1  8.0e-07  8.0e-07    0
   22  +1.3345e+03  8.11e+02  6.95e-03  4.02e-01  8.11e+02  4.86e+00    4.4e+00 (A)  1.0000  0.9940   1  5.9e-07  5.9e-07    0
   23  +1.3298e+03  5.87e+02  1.53e-03  2.34e-01  5.87e+02  4.24e+00    3.5e+00 (M)  1.0000  0.5584   1  6.6e-07  6.6e-07    0
   24  +1.9928e+03  6.27e+02  7.53e-03  3.55e-01  6.27e+02  3.81e+00    3.1e+00 (M)  1.0000  0.5247   1  2.0e-07  2.0e-07    0
   25  +1.3933e+03  6.85e+02  1.35e-02  1.16e+00  6.85e+02  2.92e+00    2.7e+00 (M)  1.0000  0.7843   1  6.9e-07  6.9e-07    0
   26  +1.9506e+03  7.66e+02  3.30e-02  5.92e-01  7.66e+02  3.00e+00    2.2e+00 (M)  0.6741  0.3060   1  1.1e-06  1.1e-06    0
   27  +1.7383e+03  5.63e+02  7.22e-03  3.29e-01  5.63e+02  2.67e+00    2.0e+00 (M)  0.8484  0.4389   1  2.2e-06  2.2e-06    0
   28  +2.1320e+03  5.72e+02  2.07e-02  6.01e-01  5.72e+02  3.90e+00    1.8e+00 (M)  0.5284  0.0969   1  6.4e-07  6.4e-07    0
   29  +2.1267e+03  6.32e+02  8.21e-03  6.17e-01  6.32e+02  4.33e+00    1.8e+00 (M)  0.5929  0.0715   1  1.5e-06  1.5e-06    0
   30  +1.8045e+03  5.40e+02  1.21e-02  5.45e-01  5.40e+02  3.07e+00    1.8e+00 (M)  0.4431  0.2193   1  6.9e-07  6.9e-07    0
   31  +1.7446e+03  6.61e+02  1.77e-02  4.54e-01  6.61e+02  3.21e+00    1.6e+00 (M)  0.5413  0.0779   1  9.3e-07  9.3e-07    0
   32  +1.4628e+03  3.12e+02  1.37e-02  3.49e-01  3.12e+02  2.69e+00    1.6e+00 (M)  0.3334  0.1642   1  1.3e-06  1.3e-06    0
   33  +1.4611e+03  5.68e+02  8.68e-03  5.87e-01  5.68e+02  2.45e+00    1.5e+00 (M)  0.5755  0.1853   1  1.0e-06  1.0e-06    0
   34  +1.6158e+03  3.69e+02  5.66e-03  4.30e-01  3.69e+02  2.24e+00    1.5e+00 (M)  0.6770  0.2324   1  6.9e-07  6.9e-07    0
   35  +1.4117e+03  3.08e+02  3.49e-03  2.51e-01  3.08e+02  1.89e+00    1.4e+00 (M)  0.4997  0.3279   1  4.9e-07  4.9e-07    0
   36  +1.3795e+03  5.61e+02  2.52e-03  3.21e-01  5.61e+02  1.87e+00    1.3e+00 (M)  0.5830  0.2299   1  3.3e-07  3.3e-07    0
   37  +1.4297e+03  4.78e+02  3.86e-03  1.71e-01  4.78e+02  1.85e+00    1.2e+00 (M)  0.7344  0.3388   1  2.5e-07  2.5e-07    0
   38  +1.3228e+03  3.87e+02  6.72e-03  1.85e-01  3.87e+02  2.24e+00    1.1e+00 (M)  0.7481  0.0741   1  3.5e-07  3.5e-07    0
   39  +1.2560e+03  3.49e+02  4.51e-03  1.52e-01  3.49e+02  1.88e+00    1.1e+00 (M)  0.3357  0.1567   1  5.4e-07  5.4e-07    0
   40  +1.5820e+03  4.82e+02  2.99e-03  3.03e-01  4.82e+02  2.59e+00    1.1e+00 (M)  0.9378  0.0495   1  3.9e-07  3.9e-07    0
   41  +1.2575e+03  6.04e+02  4.04e-04  3.50e-01  6.04e+02  2.33e+00    1.1e+00 (M)  0.8001  0.0885   1  2.8e-07  2.8e-07    0
   42  +1.3986e+03  1.32e+03  7.44e-03  2.36e-01  1.32e+03  1.75e+00    1.0e+00 (M)  0.9609  0.1794   1  5.6e-08  5.6e-08    0
   43  +1.3036e+03  8.44e+02  5.69e-03  1.73e-01  8.44e+02  1.50e+00    1.0e+00 (M)  0.3286  0.3565   1  5.7e-07  5.7e-07    0
   44  +1.2022e+03  8.94e+02  2.23e-03  6.72e-02  8.94e+02  2.08e+00    9.2e-01 (M)  1.0000  0.0668   1  4.5e-07  4.5e-07    0
   45  +1.2379e+03  5.72e+02  1.40e-03  5.08e-02  5.72e+02  1.46e+00    9.1e-01 (A)  0.4158  0.3720   1  2.1e-07  2.1e-07    0
   46  +1.1567e+03  7.18e+02  2.44e-03  1.71e-02  7.18e+02  7.97e+00    8.4e-01 (A)  1.0000  0.1933   1  1.5e-07  1.5e-07    0
   47  +1.1161e+03  3.47e+02  1.71e-03  1.57e-02  3.47e+02  1.77e+00    8.1e-01 (A)  1.0000  1.0000   1  2.3e-07  2.3e-07    0
   48  +1.0984e+03  2.95e+02  8.04e-04  1.32e-02  2.95e+02  5.65e-01    7.5e-05 (A)  0.7510  0.7801   1  1.5e-08  1.5e-08    0
   49  +1.0969e+03  1.69e+02  1.22e-04  7.40e-03  1.69e+02  1.80e-01    1.5e-01 (A)  1.0000  0.8890   1  9.2e-08  9.2e-08    0
   50  +1.0948e+03  7.89e+01  5.17e-05  1.64e-03  7.89e+01  6.92e-02    4.8e-02 (A)  1.0000  1.0000   1  2.1e-08  2.1e-08    0
   51  +1.0940e+03  7.96e+01  1.36e-05  4.94e-04  7.96e+01  2.42e-02    2.1e-07 (A)  0.7305  0.9406   1  1.1e-09  1.1e-09    0
   52  +1.0939e+03  3.46e+01  7.10e-06  1.84e-04  3.46e+01  7.30e-03    2.5e-03 (A)  1.0000  1.0000   1  4.4e-09  4.4e-09    0
   53  +1.0938e+03  2.40e+01  2.02e-06  6.89e-05  2.40e+01  2.43e-03    2.0e-07 (A)  0.7870  0.8739   1  1.1e-09  1.1e-09    0
   54  +1.0938e+03  1.21e+01  1.88e-06  6.37e-05  1.21e+01  7.74e-04    2.7e-04 (A)  1.0000  0.9608   1  1.7e-09  1.7e-09    0
   55  +1.0938e+03  3.92e+00  6.50e-07  2.18e-05  3.92e+00  3.80e-04    2.2e-04 (M)  1.0000  1.0000   1  1.7e-09  1.7e-09    0
   56  +1.0938e+03  2.24e+00  3.38e-07  2.65e-06  2.24e+00  8.64e-05    2.0e-07 (A)  1.0000  0.9949   1  1.1e-09  1.1e-09    0
   57  +1.0938e+03  3.00e+00  1.06e-07  1.03e-06  3.00e+00  2.19e-05    1.7e-06 (A)  1.0000  1.0000   1  1.2e-09  1.2e-09    0
   58  +1.0938e+03  5.87e-01  6.93e-09  1.46e-07  5.87e-01  5.16e-06    2.0e-07 (A)  1.0000  1.0000   1  1.1e-09  1.1e-09    0
   59  +1.0938e+03  5.85e-01  3.48e-09  9.65e-08  5.85e-01  1.39e-06    2.0e-07 (A)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   60  +1.0938e+03  3.69e-01  3.48e-09  5.13e-08  3.69e-01  4.55e-07    2.0e-07 (A)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   61  +1.0938e+03  8.87e-02  3.48e-09  7.63e-09  8.87e-02  2.36e-07    2.0e-07 (A)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   62  +1.0938e+03  1.57e-01  3.48e-09  8.54e-10  1.57e-01  2.47e-07    2.0e-07 (A)  1.0000  1.0000   1  1.0e-09  1.0e-09    1
   63  +1.0938e+03  1.15e-01  3.48e-09  6.07e-10  1.15e-01  2.00e-07    2.0e-07 (A)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   64  +1.0938e+03  5.71e-02  3.48e-09  3.50e-10  5.71e-02  2.00e-07    2.0e-07 (A)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   65  +1.0938e+03  2.14e-02  3.48e-09  1.13e-10  2.14e-02  2.00e-07    2.0e-07 (A)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   66  +1.0938e+03  1.65e-02  3.48e-09  1.01e-11  1.65e-02  2.00e-07    2.0e-07 (A)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   67  +1.0938e+03  9.98e-03  3.48e-09  2.81e-11  9.98e-03  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    1
   68  +1.0938e+03  1.48e-02  3.48e-09  9.15e-12  1.48e-02  2.00e-07    2.0e-07 (A)  1.0000  1.0000   1  1.0e-09  1.0e-09    1
   69  +1.0938e+03  1.13e-02  3.48e-09  1.01e-11  1.13e-02  2.00e-07    2.0e-07 (A)  1.0000  1.0000   1  1.0e-09  1.0e-09    1
   70  +1.0938e+03  1.20e-02  3.48e-09  1.42e-12  1.20e-02  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   71  +1.0938e+03  6.89e-03  3.48e-09  2.10e-12  6.89e-03  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   72  +1.0938e+03  3.31e-03  3.48e-09  3.47e-12  3.31e-03  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    1
   73  +1.0938e+03  2.03e-03  3.48e-09  1.88e-12  2.03e-03  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   74  +1.0938e+03  4.84e-03  3.48e-09  9.66e-13  4.84e-03  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   75  +1.0938e+03  2.60e-03  3.48e-09  7.39e-13  2.60e-03  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   76  +1.0938e+03  2.21e-03  3.48e-09  1.31e-12  2.21e-03  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   77  +1.0938e+03  7.31e-04  3.48e-09  1.14e-13  7.31e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   78  +1.0938e+03  6.13e-04  3.48e-09  2.27e-13  6.13e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   79  +1.0938e+03  2.54e-04  3.48e-09  1.14e-13  2.54e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   80  +1.0938e+03  8.82e-05  3.48e-09  1.14e-13  8.82e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    3
   81  +1.0938e+03  4.19e-05  3.48e-09  1.14e-13  4.19e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    5
   82  +1.0938e+03  5.14e-05  3.48e-09  1.14e-13  5.14e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    3
   83  +1.0938e+03  7.43e-05  3.48e-09  1.14e-13  7.43e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    2
   84  +1.0938e+03  5.82e-05  3.48e-09  1.14e-13  5.82e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    1
   85  +1.0938e+03  2.02e-04  3.48e-09  4.55e-13  2.02e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   86  +1.0938e+03  1.97e-04  3.48e-09  5.12e-13  1.97e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   87  +1.0938e+03  7.49e-04  3.48e-09  8.85e-13  7.49e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   88  +1.0938e+03  2.21e-04  3.48e-09  1.65e-12  2.21e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   89  +1.0938e+03  1.82e-03  3.48e-09  5.17e-11  1.82e-03  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   90  +1.0938e+03  7.05e-04  3.48e-09  4.33e-11  7.05e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   91  +1.0938e+03  7.85e-03  3.48e-09  8.50e-11  7.85e-03  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   92  +1.0938e+03  8.54e-04  3.48e-09  1.40e-10  8.54e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   93  +1.0938e+03  1.76e-02  3.48e-09  2.89e-09  1.76e-02  2.00e-07    2.0e-07 (A)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   94  +1.0938e+03  2.95e-03  3.48e-09  2.61e-09  2.95e-03  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   95  +1.0938e+03  1.26e-02  3.48e-09  9.25e-09  1.26e-02  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   96  +1.0938e+03  2.94e-03  3.48e-09  7.70e-09  2.94e-03  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   97  +1.0938e+03  2.83e-02  3.48e-09  1.42e-07  2.83e-02  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   98  +1.0938e+03  8.81e-03  3.48e-09  1.27e-07  8.81e-03  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
   99  +1.0938e+03  7.69e-02  3.48e-09  9.07e-08  7.69e-02  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  100  +1.0938e+03  1.65e-02  3.48e-09  7.41e-08  1.65e-02  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  101  +1.0938e+03  7.26e-02  5.72e-09  1.51e-08  7.26e-02  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  102  +1.0938e+03  1.36e-02  3.74e-09  8.46e-09  1.36e-02  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  103  +1.0938e+03  4.16e-02  3.48e-09  1.16e-09  4.16e-02  2.00e-07    2.0e-07 (A)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  104  +1.0938e+03  8.57e-04  3.48e-09  6.23e-10  8.57e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  105  +1.0938e+03  1.53e-03  3.48e-09  3.19e-11  1.53e-03  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  106  +1.0938e+03  4.87e-04  3.48e-09  1.38e-11  4.87e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  107  +1.0938e+03  5.28e-04  3.48e-09  2.88e-12  5.28e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  108  +1.0938e+03  2.65e-04  3.48e-09  2.16e-12  2.65e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  109  +1.0938e+03  2.48e-04  3.48e-09  1.14e-13  2.48e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  110  +1.0938e+03  1.96e-04  3.48e-09  1.14e-13  1.96e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  111  +1.0938e+03  4.32e-05  3.48e-09  1.14e-13  4.32e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  112  +1.0938e+03  6.32e-05  3.48e-09  1.71e-13  6.32e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  113  +1.0938e+03  3.44e-05  3.48e-09  1.14e-13  3.44e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  114  +1.0938e+03  3.49e-05  3.48e-09  1.14e-13  3.49e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  115  +1.0938e+03  2.90e-05  3.48e-09  1.14e-13  2.90e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  116  +1.0938e+03  6.41e-05  3.48e-09  1.14e-13  6.41e-05  2.00e-07    2.0e-07 (A)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  117  +1.0938e+03  2.21e-05  3.48e-09  1.14e-13  2.21e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  118  +1.0938e+03  4.41e-05  3.48e-09  1.14e-13  4.41e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  119  +1.0938e+03  1.05e-05  3.48e-09  1.14e-13  1.05e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  120  +1.0938e+03  1.02e-04  3.48e-09  1.14e-13  1.02e-04  2.00e-07    2.0e-07 (A)  1.0000  1.0000   1  1.0e-09  1.0e-09    1
  121  +1.0938e+03  9.03e-05  3.48e-09  1.14e-13  9.03e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  122  +1.0938e+03  1.28e-04  3.48e-09  1.14e-13  1.28e-04  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  123  +1.0938e+03  2.81e-05  3.48e-09  1.14e-13  2.81e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  124  +1.0938e+03  2.98e-05  3.48e-09  1.14e-13  2.98e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  125  +1.0938e+03  2.70e-05  3.48e-09  1.14e-13  2.70e-05  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    0
  126  +1.0938e+03  5.91e-06  3.48e-09  1.14e-13  5.91e-06  2.00e-07    2.0e-07 (M)  1.0000  1.0000   1  1.0e-09  1.0e-09    1

OPTIMAL (within EQTOL=1.0e-06, INEQTOL=1.0e-06, STATTOL=1.0e-05, COMPTOL=1.0e-06).
Solve time: 58.114 ms (126 iterations)

